ITEM_SALES_PRICE_ID,SALES_PRICE_CODE,COMP_CODE,DIV_CODE,DOC_TYPE,DOC_NO,ITEM_CODE,WEF,ISEFFECTIVE_INDEFINITE,WET,SALES_PRICE,ITEM_DISCOUNT,ANY_GIFT_ITEM,GIFT_ITEM_DESC,ISACTIVE,CBU,DOC,DOM,MBU,ISDELETED,DELETEDBY,DELETEDON,gstcd,gst_rate
1,ITSP0000000000000001,C001,DIV02,NULL,NULL,76326,00:00.0,0,22/03/2099,160,0,0,NULL,1,SA,36:51.8,NULL,NULL,0,NULL,NULL,GT5,5
2,ITSP0000000000000002,C001,DIV02,NULL,NULL,76327,00:00.0,0,22/03/2099,130,0,0,NULL,1,SA,36:51.8,NULL,NULL,0,NULL,NULL,GT5,5
3,ITSP0000000000000003,C001,DIV02,NULL,NULL,76328,00:00.0,0,22/03/2099,130,0,0,NULL,1,SA,36:51.8,NULL,NULL,0,NULL,NULL,GT5,5
4,ITSP0000000000000004,C001,DIV02,NULL,NULL,76329,00:00.0,0,22/03/2099,470,0,0,NULL,1,SA,36:51.8,NULL,NULL,0,NULL,NULL,GT5,5
5,ITSP0000000000000005,C001,DIV02,NULL,NULL,76330,00:00.0,0,22/03/2099,470,0,0,NULL,1,SA,36:51.8,NULL,NULL,0,NULL,NULL,GT5,5
6,ITSP0000000000000006,C001,DIV02,NULL,NULL,76331,00:00.0,0,22/03/2099,420,0,0,NULL,1,SA,36:51.8,NULL,NULL,0,NULL,NULL,GT5,5
7,ITSP0000000000000007,C001,DIV02,NULL,NULL,76401,00:00.0,0,22/03/2099,20,0,0,NULL,1,SA,36:51.8,NULL,NULL,0,NULL,NULL,GT5,5
8,ITSP0000000000000008,C001,DIV02,NULL,NULL,76402,00:00.0,0,22/03/2099,25,0,0,NULL,1,SA,36:51.8,NULL,NULL,0,NULL,NULL,GT5,5
9,ITSP0000000000000009,C001,DIV02,NULL,NULL,76403,00:00.0,0,22/03/2099,55,0,0,NULL,1,SA,36:51.8,NULL,NULL,0,NULL,NULL,GT5,5
10,ITSP0000000000000010,C001,DIV02,NULL,NULL,76404,00:00.0,0,22/03/2099,50,0,0,NULL,1,SA,36:51.8,NULL,NULL,0,NULL,NULL,GT5,5
11,ITSP0000000000000011,C001,DIV02,NULL,NULL,76405,00:00.0,0,22/03/2099,35,0,0,NULL,1,SA,36:51.8,NULL,NULL,0,NULL,NULL,GT5,5
12,ITSP0000000000000012,C001,DIV02,NULL,NULL,76406,00:00.0,0,22/03/2099,35,0,0,NULL,1,SA,36:51.8,NULL,NULL,0,NULL,NULL,GT5,5
13,ITSP0000000000000013,C001,DIV02,NULL,NULL,76407,00:00.0,0,22/03/2099,20,0,0,NULL,1,SA,36:51.8,NULL,NULL,0,NULL,NULL,GT5,5
14,ITSP0000000000000014,C001,DIV02,NULL,NULL,76408,00:00.0,0,22/03/2099,28,0,0,NULL,1,SA,36:51.8,NULL,NULL,0,NULL,NULL,GT5,5
15,ITSP0000000000000015,C001,DIV02,NULL,NULL,76409,00:00.0,0,22/03/2099,30,0,0,NULL,1,SA,36:51.8,NULL,NULL,0,NULL,NULL,GT5,5
16,ITSP0000000000000016,C001,DIV02,NULL,NULL,76410,00:00.0,0,22/03/2099,50,0,0,NULL,1,SA,36:51.8,NULL,NULL,0,NULL,NULL,GT5,5
17,ITSP0000000000000017,C001,DIV02,NULL,NULL,76411,00:00.0,0,22/03/2099,40,0,0,NULL,1,SA,36:51.8,NULL,NULL,0,NULL,NULL,GT5,5
18,ITSP0000000000000018,C001,DIV02,NULL,NULL,76412,00:00.0,0,22/03/2099,35,0,0,NULL,1,SA,36:51.8,NULL,NULL,0,NULL,NULL,GT5,5
19,ITSP0000000000000019,C001,DIV02,NULL,NULL,76413,00:00.0,0,22/03/2099,50,0,0,NULL,1,SA,36:51.8,NULL,NULL,0,NULL,NULL,GT5,5
20,ITSP0000000000000020,C001,DIV02,NULL,NULL,76414,00:00.0,0,22/03/2099,85,0,0,NULL,1,SA,36:51.8,NULL,NULL,0,NULL,NULL,GT5,5
21,ITSP0000000000000021,C001,DIV02,NULL,NULL,76415,00:00.0,0,22/03/2099,100,0,0,NULL,1,SA,36:51.8,NULL,NULL,0,NULL,NULL,GT5,5
22,ITSP0000000000000022,C001,DIV02,NULL,NULL,76416,00:00.0,0,22/03/2099,99,0,0,NULL,1,SA,36:51.8,NULL,NULL,0,NULL,NULL,GT5,5
23,ITSP0000000000000023,C001,DIV02,NULL,NULL,76417,00:00.0,0,22/03/2099,95,0,0,NULL,1,SA,36:51.8,NULL,NULL,0,NULL,NULL,GT5,5
24,ITSP0000000000000024,C001,DIV02,NULL,NULL,76418,00:00.0,0,22/03/2099,20,0,0,NULL,1,SA,36:51.8,NULL,NULL,0,NULL,NULL,GT5,5
25,ITSP0000000000000025,C001,DIV02,NULL,NULL,76419,00:00.0,0,22/03/2099,30,0,0,NULL,1,SA,36:51.8,NULL,NULL,0,NULL,NULL,GT5,5
26,ITSP0000000000000026,C001,DIV02,NULL,NULL,76420,00:00.0,0,22/03/2099,37,0,0,NULL,1,SA,36:51.8,NULL,NULL,0,NULL,NULL,GT5,5
27,ITSP0000000000000027,C001,DIV02,NULL,NULL,76421,00:00.0,0,22/03/2099,28,0,0,NULL,1,SA,36:51.8,NULL,NULL,0,NULL,NULL,GT5,5
28,ITSP0000000000000028,C001,DIV02,NULL,NULL,76422,00:00.0,0,22/03/2099,40,0,0,NULL,1,SA,36:51.8,NULL,NULL,0,NULL,NULL,GT5,5
29,ITSP0000000000000029,C001,DIV02,NULL,NULL,76423,00:00.0,0,22/03/2099,38,0,0,NULL,1,SA,36:51.8,NULL,NULL,0,NULL,NULL,GT5,5
30,ITSP0000000000000030,C001,DIV02,NULL,NULL,76424,00:00.0,0,22/03/2099,60,0,0,NULL,1,SA,36:51.8,NULL,NULL,0,NULL,NULL,GT5,5
31,ITSP0000000000000031,C001,DIV02,NULL,NULL,76425,00:00.0,0,22/03/2099,65,0,0,NULL,1,SA,36:51.8,NULL,NULL,0,NULL,NULL,GT5,5
32,ITSP0000000000000032,C001,DIV02,NULL,NULL,76426,00:00.0,0,22/03/2099,75,0,0,NULL,1,SA,36:51.8,NULL,NULL,0,NULL,NULL,GT5,5
33,ITSP0000000000000033,C001,DIV02,NULL,NULL,76427,00:00.0,0,22/03/2099,140,0,0,NULL,1,SA,36:51.8,NULL,NULL,0,NULL,NULL,GT5,5
34,ITSP0000000000000034,C001,DIV02,NULL,NULL,76430,00:00.0,0,22/03/2099,90,0,0,NULL,1,SA,36:51.8,NULL,NULL,0,NULL,NULL,GT5,5
35,ITSP0000000000000035,C001,DIV02,NULL,NULL,76431,00:00.0,0,22/03/2099,60,0,0,NULL,1,SA,36:51.9,NULL,NULL,0,NULL,NULL,GT5,5
36,ITSP0000000000000036,C001,DIV02,NULL,NULL,76432,00:00.0,0,22/03/2099,70,0,0,NULL,1,SA,36:51.9,NULL,NULL,0,NULL,NULL,GT5,5
37,ITSP0000000000000037,C001,DIV02,NULL,NULL,76433,00:00.0,0,22/03/2099,45,0,0,NULL,1,SA,36:51.9,NULL,NULL,0,NULL,NULL,GT5,5
38,ITSP0000000000000038,C001,DIV02,NULL,NULL,76434,00:00.0,0,22/03/2099,40,0,0,NULL,1,SA,36:51.9,NULL,NULL,0,NULL,NULL,GT5,5
39,ITSP0000000000000039,C001,DIV02,NULL,NULL,76435,00:00.0,0,22/03/2099,140,0,0,NULL,1,SA,36:51.9,NULL,NULL,0,NULL,NULL,GT5,5
40,ITSP0000000000000040,C001,DIV02,NULL,NULL,76436,00:00.0,0,22/03/2099,35,0,0,NULL,1,SA,36:51.9,NULL,NULL,0,NULL,NULL,GT5,5
41,ITSP0000000000000041,C001,DIV02,NULL,NULL,76437,00:00.0,0,22/03/2099,30,0,0,NULL,1,SA,36:51.9,NULL,NULL,0,NULL,NULL,GT5,5
42,ITSP0000000000000042,C001,DIV02,NULL,NULL,76438,00:00.0,0,22/03/2099,58,0,0,NULL,1,SA,36:51.9,NULL,NULL,0,NULL,NULL,GT5,5
43,ITSP0000000000000043,C001,DIV02,NULL,NULL,76439,00:00.0,0,22/03/2099,58,0,0,NULL,1,SA,36:51.9,NULL,NULL,0,NULL,NULL,GT5,5
44,ITSP0000000000000044,C001,DIV02,NULL,NULL,76440,00:00.0,0,22/03/2099,70,0,0,NULL,1,SA,36:51.9,NULL,NULL,0,NULL,NULL,GT5,5
45,ITSP0000000000000045,C001,DIV02,NULL,NULL,76441,00:00.0,0,22/03/2099,380,0,0,NULL,1,SA,36:51.9,NULL,NULL,0,NULL,NULL,GT5,5
46,ITSP0000000000000046,C001,DIV02,NULL,NULL,76443,00:00.0,0,22/03/2099,150,0,0,NULL,1,SA,36:51.9,NULL,NULL,0,NULL,NULL,GT5,5
47,ITSP0000000000000047,C001,DIV02,NULL,NULL,76444,00:00.0,0,22/03/2099,140,0,0,NULL,1,SA,36:51.9,NULL,NULL,0,NULL,NULL,GT5,5
48,ITSP0000000000000048,C001,DIV02,NULL,NULL,76445,00:00.0,0,22/03/2099,100,0,0,NULL,1,SA,36:51.9,NULL,NULL,0,NULL,NULL,GT5,5
49,ITSP0000000000000049,C001,DIV02,NULL,NULL,76447,00:00.0,0,22/03/2099,70,0,0,NULL,1,SA,36:51.9,NULL,NULL,0,NULL,NULL,GT5,5
50,ITSP0000000000000050,C001,DIV02,NULL,NULL,77201,00:00.0,0,22/03/2099,598,0,0,NULL,1,SA,36:51.9,NULL,NULL,0,NULL,NULL,GT18,18
51,ITSP0000000000000051,C001,DIV02,NULL,NULL,77202,00:00.0,0,22/03/2099,598,0,0,NULL,1,SA,36:51.9,NULL,NULL,0,NULL,NULL,GT18,18
52,ITSP0000000000000052,C001,DIV02,NULL,NULL,77203,00:00.0,0,22/03/2099,598,0,0,NULL,1,SA,36:51.9,NULL,NULL,0,NULL,NULL,GT18,18
53,ITSP0000000000000053,C001,DIV02,NULL,NULL,77204,00:00.0,0,22/03/2099,198,0,0,NULL,1,SA,36:51.9,NULL,NULL,0,NULL,NULL,GT5,5
54,ITSP0000000000000054,C001,DIV02,NULL,NULL,77205,00:00.0,0,22/03/2099,148,0,0,NULL,1,SA,36:51.9,NULL,NULL,0,NULL,NULL,GT5,5
55,ITSP0000000000000055,C001,DIV02,NULL,NULL,77206,00:00.0,0,22/03/2099,139,0,0,NULL,1,SA,36:51.9,NULL,NULL,0,NULL,NULL,GT5,5
56,ITSP0000000000000056,C001,DIV02,NULL,NULL,77207,00:00.0,0,22/03/2099,139,0,0,NULL,1,SA,36:51.9,NULL,NULL,0,NULL,NULL,GT5,5
57,ITSP0000000000000057,C001,DIV02,NULL,NULL,77209,00:00.0,0,22/03/2099,598,0,0,NULL,1,SA,36:51.9,NULL,NULL,0,NULL,NULL,GT18,18
58,ITSP0000000000000058,C001,DIV02,NULL,NULL,77212,00:00.0,0,22/03/2099,598,0,0,NULL,1,SA,36:51.9,NULL,NULL,0,NULL,NULL,GT18,18
59,ITSP0000000000000059,C001,DIV02,NULL,NULL,77222,00:00.0,0,22/03/2099,598,0,0,NULL,1,SA,36:51.9,NULL,NULL,0,NULL,NULL,GT18,18
60,ITSP0000000000000060,C001,DIV02,NULL,NULL,77225,00:00.0,0,22/03/2099,598,0,0,NULL,1,SA,36:51.9,NULL,NULL,0,NULL,NULL,GT18,18
61,ITSP0000000000000061,C001,DIV02,NULL,NULL,77226,00:00.0,0,22/03/2099,598,0,0,NULL,1,SA,36:51.9,NULL,NULL,0,NULL,NULL,GT18,18
62,ITSP0000000000000062,C001,DIV02,NULL,NULL,77227,00:00.0,0,22/03/2099,698,0,0,NULL,1,SA,36:51.9,NULL,NULL,0,NULL,NULL,GT18,18
63,ITSP0000000000000063,C001,DIV02,NULL,NULL,77228,00:00.0,0,22/03/2099,698,0,0,NULL,1,SA,36:51.9,NULL,NULL,0,NULL,NULL,GT18,18
64,ITSP0000000000000064,C001,DIV02,NULL,NULL,77229,00:00.0,0,22/03/2099,698,0,0,NULL,1,SA,36:51.9,NULL,NULL,0,NULL,NULL,GT18,18
65,ITSP0000000000000065,C001,DIV02,NULL,NULL,77236,00:00.0,0,22/03/2099,698,0,0,NULL,1,SA,36:51.9,NULL,NULL,0,NULL,NULL,GT18,18
66,ITSP0000000000000066,C001,DIV02,NULL,NULL,77237,00:00.0,0,22/03/2099,698,0,0,NULL,1,SA,36:51.9,NULL,NULL,0,NULL,NULL,GT18,18
67,ITSP0000000000000067,C001,DIV02,NULL,NULL,77238,00:00.0,0,22/03/2099,698,0,0,NULL,1,SA,36:51.9,NULL,NULL,0,NULL,NULL,GT18,18
68,ITSP0000000000000068,C001,DIV02,NULL,NULL,77239,00:00.0,0,22/03/2099,698,0,0,NULL,1,SA,36:51.9,NULL,NULL,0,NULL,NULL,GT18,18
69,ITSP0000000000000069,C001,DIV02,NULL,NULL,77240,00:00.0,0,22/03/2099,698,0,0,NULL,1,SA,36:51.9,NULL,NULL,0,NULL,NULL,GT18,18
70,ITSP0000000000000070,C001,DIV02,NULL,NULL,77243,00:00.0,0,22/03/2099,598,0,0,NULL,1,SA,36:51.9,NULL,NULL,0,NULL,NULL,GT18,18
71,ITSP0000000000000071,C001,DIV02,NULL,NULL,77244,00:00.0,0,22/03/2099,598,0,0,NULL,1,SA,36:51.9,NULL,NULL,0,NULL,NULL,GT18,18
72,ITSP0000000000000072,C001,DIV02,NULL,NULL,77245,00:00.0,0,22/03/2099,598,0,0,NULL,1,SA,36:51.9,NULL,NULL,0,NULL,NULL,GT18,18
73,ITSP0000000000000073,C001,DIV02,NULL,NULL,77246,00:00.0,0,22/03/2099,598,0,0,NULL,1,SA,36:51.9,NULL,NULL,0,NULL,NULL,GT18,18
