SALES_DTL_ID,COMP_CODE,DIV_CODE,DOC_TYPE,INVNO,SM_CODE,INVDATE,ITEM_SERIAL,ITEM_CODE,ISCOMBOITEM,IS_REG_ITEM,SIZE,QTY,SALES_RATE,PUR_RATE,ITEM_DISCOUNT,NET_SALES_RATE,ANY_GIFT_ITEM,GIFT_ITEM_DESC,AMOUNT,NET_VALUE,TAX_PRCNT,Sales_Amnt,CST_AMT,CASHIER_CODE,CBU,DOC,MBU,DOM,ISDELETED,DELETEDON,DELETEDBY,VAT_PCT,Unit_Pur_Cost,Stk_Source_Refno,BTDI,DT_BTDI,BTDI_BY,hsn_code,gst_tax_pct,gst_tax_amnt,cgst_tax_amnt,sgst_tax_amnt,igst_tax_amnt,gst_sales_tax_amnt,item_desc
1,C015,DIV19,INC,INC/00000001/19-20/2318B8DA-A22B-46E6-919A-75EE4A1770FA,2,00:00.0,1,65592,0,1,9,1,920,0,0,920,0,NULL,920,920,0,0,0,CSH001,joypur,58:32.9,NULL,NULL,0,NULL,NULL,5,0,NULL,0,NULL,NULL,64039990,5,43.81,21.9,21.9,0,876.19,Footwear-Lth
2,C015,DIV19,INC,INC/00000001/19-20/2318B8DA-A22B-46E6-919A-75EE4A1770FA,2,00:00.0,2,20990,0,1,1,2,65,0,0,65,0,NULL,130,130,0,0,0,CSH001,joypur,58:32.9,NULL,NULL,0,NULL,NULL,5,0,NULL,0,NULL,NULL,61159500,5,6.19,3.1,3.1,0,123.81,Socks
3,C015,DIV19,INC,INC/00000001/19-20/2318B8DA-A22B-46E6-919A-75EE4A1770FA,2,00:00.0,3,13890,0,0,1,1,465,0,0,465,0,NULL,465,465,0,0,0,CSH001,joypur,58:32.9,NULL,NULL,0,NULL,NULL,18,0,NULL,0,NULL,NULL,42033000,18,70.93,35.47,35.47,0,394.07,Belt
4,C015,DIV19,INC,INC/00000002/19-20/E0AD099E-1B95-4309-94F4-801D08ED92B2,8,00:00.0,1,89907,0,1,7,1,610,0,0,610,0,NULL,610,610,0,0,0,CSH001,joypur,03:11.6,NULL,NULL,0,NULL,NULL,5,0,NULL,0,NULL,NULL,64039990,5,29.05,14.52,14.52,0,580.95,Footwear-Lth
5,C015,DIV19,INR,INR/00000001/19-20/9A1D6715-F602-49A8-9BB4-CAAC9F5EA039,7,00:00.0,1,107402,0,1,7,1,170,0,0,170,0,NULL,170,170,0,0,0,CSH001,joypur,11:46.9,NULL,NULL,0,NULL,NULL,5,0,NULL,0,NULL,NULL,64029990,5,8.1,4.05,4.05,0,161.9,Footwear-Syn
6,C015,DIV19,INR,INR/00000001/19-20/9A1D6715-F602-49A8-9BB4-CAAC9F5EA039,7,00:00.0,2,6336,0,0,7,1,299,0,0,299,0,NULL,299,299,0,0,0,CSH001,joypur,11:46.9,NULL,NULL,0,NULL,NULL,5,0,NULL,0,NULL,NULL,64029990,5,14.24,7.12,7.12,0,284.76,Footwear-Syn
7,C015,DIV19,INR,INR/00000001/19-20/9A1D6715-F602-49A8-9BB4-CAAC9F5EA039,7,00:00.0,3,20517,0,0,7,1,320,0,0,320,0,NULL,320,320,0,0,0,CSH001,joypur,11:46.9,NULL,NULL,0,NULL,NULL,5,0,NULL,0,NULL,NULL,64029990,5,15.24,7.62,7.62,0,304.76,Footwear-Syn
8,C015,DIV19,INR,INR/00000001/19-20/9A1D6715-F602-49A8-9BB4-CAAC9F5EA039,10,00:00.0,4,19216,0,0,1,1,50,0,0,50,0,NULL,50,50,0,0,0,CSH001,joypur,11:46.9,NULL,NULL,0,NULL,NULL,18,0,NULL,0,NULL,NULL,96039000,18,7.63,3.81,3.81,0,42.37,Brush
9,C015,DIV19,INC,INC/00000003/19-20/DA272908-E9B9-4E5A-88F8-AA109774C3AB,8,00:00.0,1,85817,0,1,9,1,499,0,0,499,0,NULL,499,499,0,0,0,CSH001,joypur,17:08.6,NULL,NULL,0,NULL,NULL,5,0,NULL,0,NULL,NULL,64039990,5,23.76,11.88,11.88,0,475.24,Footwear-Lth
10,C015,DIV19,INC,INC/00000004/19-20/F2CABB01-D263-4A51-9D30-7F23C73CE17F,7,00:00.0,1,13773,0,0,1,1,1210,0,0,1210,0,NULL,1210,1210,0,0,0,CSH001,joypur,22:15.2,NULL,NULL,0,NULL,NULL,18,0,NULL,0,NULL,NULL,42021140,18,184.58,92.29,92.29,0,1025.42,Brfcse-Lth
